Vendor Location,Participant Category,Year Month, Number of Participants Redeemed , Number Vouchers Redeemed ,Total Cost Vouchers,Average Cost,Statewide Infant Formula Rebate,Total Cost Vouchers Adjusted,Average Cost Adjusted,State Average Cost Adjusted
ALAMEDA             ,Breastfeeding Mother  ,2010-01,"3,698","15,460","$218,495.54 ",$59.08 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2010-02,"3,674","15,292","$214,196.13 ",$58.30 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2010-03,"3,728","15,506","$216,654.34 ",$58.12 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2010-04,"3,625","15,232","$214,084.40 ",$59.06 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2010-05,"3,662","15,282","$214,837.02 ",$58.67 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2010-06,"3,703","15,519","$216,908.56 ",$58.58 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2010-07,"3,713","15,474","$217,068.80 ",$58.46 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2010-08,"3,671","15,426","$220,134.91 ",$59.97 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2010-09,"3,708","15,430","$221,551.59 ",$59.75 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2010-10,"3,703","15,308","$223,835.18 ",$60.45 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2010-11,"3,589","14,959","$222,422.92 ",$61.97 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2010-12,"3,546","14,617","$219,393.46 ",$61.87 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2011-01,"3,533","14,643","$221,014.83 ",$62.56 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2011-02,"3,470","14,467","$222,926.07 ",$64.24 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2011-03,"3,479","14,424","$225,597.38 ",$64.85 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2011-04,"3,550","14,679","$230,105.72 ",$64.82 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2011-05,"3,485","14,319","$224,667.78 ",$64.47 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2011-06,"3,553","14,811","$232,569.08 ",$65.46 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2011-07,"3,528","14,534","$232,616.16 ",$65.93 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2011-08,"3,561","14,688","$240,474.51 ",$67.53 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2011-09,"3,582","14,929","$243,966.90 ",$68.11 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2011-10,"3,580","14,763","$246,615.48 ",$68.89 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2011-11,"3,621","14,961","$249,539.92 ",$68.91 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2011-12,"3,643","14,913","$246,423.08 ",$67.64 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2012-01,"3,681","15,080","$248,555.37 ",$67.52 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2012-02,"3,647","15,034","$243,885.59 ",$66.87 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2012-03,"3,631","14,812","$241,945.08 ",$66.63 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2012-04,"3,639","15,039","$245,497.64 ",$67.46 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2012-05,"3,577","14,615","$225,010.65 ",$62.90 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2012-06,"3,588","14,870","$215,788.34 ",$60.14 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2012-07,"3,576","14,807","$215,393.42 ",$60.23 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2012-08,"3,590","14,794","$216,198.38 ",$60.22 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2012-09,"3,571","14,774","$216,972.40 ",$60.76 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2012-10,"3,636","14,888","$219,825.80 ",$60.46 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2012-11,"3,579","14,681","$219,385.30 ",$61.30 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2012-12,"3,551","14,585","$219,333.42 ",$61.77 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2013-01,"3,630","14,814","$225,209.40 ",$62.04 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2013-02,"3,485","14,355","$218,698.68 ",$62.75 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2013-03,"3,480","14,241","$216,014.81 ",$62.07 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2013-04,"3,507","14,409","$217,382.81 ",$61.99 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2013-05,"3,452","14,036","$210,790.93 ",$61.06 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2013-06,"3,379","13,931","$209,439.51 ",$61.98 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2013-07,"3,519","14,456","$216,669.05 ",$61.57 ,,,,
ALAMEDA             ,Breastfeeding Mother  ,2013-08,"3,444","14,045","$209,879.49 ",$60.94 ,,,,
